# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
stencil_3point,scalar,f64,262144,0,1,0.000080376,4274875.383,1.130,78.275,0.000,183,avx2
memory_bandwidth,scalar,f64,262144,0,1,0.000071120,966246.858,1.000,58.975,0.000,184,avx2
axpy,vectorized,f64,262144,0,1,0.000082048,1675104.246,1.154,76.680,0.998,185,avx2
dot_product,vectorized,f64,262144,0,1,0.000053130,2586842.715,0.747,78.944,0.939,186,avx2
elementwise_multiply,vectorized,f64,262144,0,1,0.000103551,663629.291,1.456,60.757,0.997,187,avx2
stencil_3point,vectorized,f64,262144,0,1,0.000075277,4564440.440,1.058,83.577,1.068,188,avx2
memory_bandwidth,vectorized,f64,262144,0,1,0.000070666,972454.600,0.994,59.354,1.006,189,avx2
axpy,scalar,f64,262144,1,1,0.000082122,1673594.818,1.155,76.611,0.000,190,avx2
dot_product,scalar,f64,262144,1,1,0.000049767,2761648.366,0.700,84.279,0.000,191,avx2
elementwise_multiply,scalar,f64,262144,1,1,0.000098920,694697.502,1.391,63.601,0.000,192,avx2
stencil_3point,scalar,f64,262144,1,1,0.000086928,3952666.396,1.222,72.375,0.000,193,avx2
memory_bandwidth,scalar,f64,262144,1,1,0.000072225,951463.850,1.016,58.073,0.000,194,avx2
axpy,vectorized,f64,262144,1,1,0.000081659,1683083.962,1.148,77.045,1.006,195,avx2
dot_product,vectorized,f64,262144,1,1,0.000050693,2711201.808,0.713,82.739,0.982,196,avx2
elementwise_multiply,vectorized,f64,262144,1,1,0.000100417,684341.065,1.412,62.653,0.985,197,avx2
stencil_3point,vectorized,f64,262144,1,1,0.000075686,4539774.640,1.064,83.126,1.149,198,avx2
memory_bandwidth,vectorized,f64,262144,1,1,0.000085575,803032.156,1.203,49.013,0.844,199,avx2
axpy,scalar,f32,1048576,0,1,0.000176370,12468238.690,0.620,71.344,0.000,200,avx2
dot_product,scalar,f32,1048576,0,1,0.000114943,19131423.871,0.404,72.981,0.000,201,avx2
elementwise_multiply,scalar,f32,1048576,0,1,0.000252005,4363054.815,0.886,49.931,0.000,202,avx2
