# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
elementwise_multiply,scalar,f32,65536,1,1,0.000004945,868547.462,0.278,159.036,0.000,132,vectorized
stencil_3point,scalar,f32,65536,1,1,0.000004874,4405998.584,0.274,161.352,0.000,133,vectorized
memory_bandwidth,scalar,f32,65536,1,1,0.000004098,1048064.234,0.230,127.938,0.000,134,vectorized
axpy,vectorized,f32,65536,1,1,0.000003870,2219621.467,0.218,203.212,1.033,135,vectorized
dot_product,vectorized,f32,65536,1,1,0.000003532,2432031.430,0.199,148.439,1.096,136,vectorized
elementwise_multiply,vectorized,f32,65536,1,1,0.000004819,891256.957,0.271,163.194,1.026,137,vectorized
stencil_3point,vectorized,f32,65536,1,1,0.000004785,4487949.328,0.269,164.354,1.019,138,vectorized
memory_bandwidth,vectorized,f32,65536,1,1,0.000004073,1054497.282,0.229,128.723,1.006,139,vectorized
axpy,scalar,f64,65536,0,1,0.000008072,1064164.338,0.454,194.854,0.000,140,vectorized
dot_product,scalar,f64,65536,0,1,0.000007121,1206282.051,0.401,147.251,0.000,141,vectorized
elementwise_multiply,scalar,f64,65536,0,1,0.000018212,235831.719,1.024,86.364,0.000,142,vectorized
stencil_3point,scalar,f64,65536,0,1,0.000009290,2311607.798,0.523,169.307,0.000,143,vectorized
memory_bandwidth,scalar,f64,65536,0,1,0.000008403,511123.089,0.473,124.786,0.000,144,vectorized
axpy,vectorized,f64,65536,0,1,0.000007848,1094538.034,0.441,200.416,1.029,145,vectorized
dot_product,vectorized,f64,65536,0,1,0.000007318,1173809.024,0.412,143.287,0.973,146,vectorized
elementwise_multiply,vectorized,f64,65536,0,1,0.000018688,229824.877,1.051,84.164,0.975,147,vectorized
stencil_3point,vectorized,f64,65536,0,1,0.000009192,2336252.918,0.517,171.112,1.011,148,vectorized
memory_bandwidth,vectorized,f64,65536,0,1,0.000008482,506362.569,0.477,123.624,0.991,149,vectorized
axpy,scalar,f64,65536,1,1,0.000007720,1112685.829,0.434,203.739,0.000,150,vectorized
dot_product,scalar,f64,65536,1,1,0.000007003,1226607.813,0.394,149.732,0.000,151,vectorized
elementwise_multiply,scalar,f64,65536,1,1,0.000018409,233308.015,1.035,85.440,0.000,152,vectorized
stencil_3point,scalar,f64,65536,1,1,0.000009781,2195566.562,0.550,160.808,0.000,153,vectorized
memory_bandwidth,scalar,f64,65536,1,1,0.000008380,512525.944,0.471,125.128,0.000,154,vectorized
axpy,vectorized,f64,65536,1,1,0.000008578,1001391.322,0.482,183.360,0.900,155,vectorized
dot_product,vectorized,f64,65536,1,1,0.000006693,1283420.671,0.376,156.668,1.046,156,vectorized
elementwise_multiply,vectorized,f64,65536,1,1,0.000017903,239902.102,1.007,87.855,1.028,157,vectorized
stencil_3point,vectorized,f64,65536,1,1,0.000014659,1464959.184,0.824,107.297,0.667,158,vectorized
memory_bandwidth,vectorized,f64,65536,1,1,0.000008471,507020.092,0.476,123.784,0.989,159,vectorized
axpy,scalar,f32,262144,0,1,0.000045084,3048508.426,0.634,69.775,0.000,160,vectorized
